,Typhoid fever,25,0.8,3,1,2,5,4,2,2,0,1,1,2,2,1,27,1,27,0.9,,,,,,,,,
,Verotoxin-producing E. coli infection,25,0.8,1,0,1,5,3,1,5,3,2,1,2,1,2,40,1,40,1.3,,,,,,,,,
,Yersiniosis,80,2.7,9,7,3,6,9,9,8,12,5,2,6,4,4,80,3,80,2.7,,,,,,,,,
,Vaccine Preventable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute flaccid paralysis,1,<0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
,Adverse vaccine reactions,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8,62,2,62,2.1,,,,,,,,,
,Chickenpox,240,8.1,26,29,18,19,35,17,14,27,20,21,11,3,11,225,8,225,7.6,,,,,,,,,
,COVID-195,"22,060",74.4,"4,643","2,601","2,004","1,596","1,242",811,583,920,"1,898","2,474","3,288","3,792","29,784","140,507",474,"140,507",473.8,,,,,,,,,
,Diphtheria,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
,"Haemophilus influenzae, invasive",61,2.1,5,3,4,4,1,4,5,3,6,4,7,15,2,26,1,26,0.9,,,,,,,,,
,Influenza - sporadic,"2,892",97.5,143,78,203,178,218,41,28,33,24,32,354,"1,560",301,"3,870",130,"3,870",13.0,,,,,,,,,
,Influenza - outbreak associated,247,8.3,19,6,13,2,5,15,13,0,0,2,36,136,29,235,1,235,0.8,,,,,,,,,
,Measles,4,0.1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,<0.1,1,<0.1,,,,,,,,,
,Mpox6,27,0.9,4,4,4,3,2,3,2,1,1,1,1,1,1,514,17,514,17.3,,,,,,,,,
,Mumps,6,0.2,0,1,0,1,0,0,0,0,0,0,2,2,<1,9,0,9,0.3,,,,,,,,,
,Pertussis,22,0.7,1,0,2,0,2,2,0,3,6,3,2,1,<1,11,0,11,0.4,,,,,,,,,
,Rubella,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
,"Rubella, congenital syndrome",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
,Tetanus,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,<0.1,1,<0.1,,,,,,,,,
,Direct Contact and Respiratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legionellosis,50,1.7,1,2,2,3,2,4,8,12,5,6,2,3,1,51,2,51,1.7,,,,,,,,,
,Leprosy,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
,"Meningococcal disease, invasive",6,0.2,0,1,0,2,0,1,0,0,1,0,1,0,0,11,0,11,0.4,,,,,,,,,
,"Group A Streptococcal disease, invasive",291,9.8,23,20,33,20,27,27,23,18,12,29,19,40,15,119,4,119,4.0,,,,,,,,,
,"Group B Streptococcal disease, neonatal",9,0.3,1,0,2,0,0,1,2,1,0,1,0,1,<1,2,<0.1,2,<0.1,,,,,,,,,
,"Pneumococcal disease, invasive",253,8.5,22,23,20,14,23,12,19,15,16,18,29,42,19,191,6,191,6.4,,,,,,,,,
,TB: Atypical mycobacterial infections,40,1.3,9,2,1,4,10,4,2,1,1,1,3,2,4,34,1,34,1.1,,,,,,,,,
,Tuberculosis7,341,11.5,30,18,33,25,23,36,31,38,30,29,21,27,25,299,10,299,10.1,,,,,,,,,
,Vectorborne and Zoonotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anaplasmosis8,2,<0.1,-,-,-,-,-,-,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,
,Babesiosis8,4,0.1,-,-,-,-,-,-,3,1,0,0,0,0,0,1,<0.1,1,<0.1,,,,,,,,,
,Brucellosis,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,<0.1,1,<0.1,,,,,,,,,
,Echinococcus multilocularis infection,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
,Hemorrhagic fevers,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,<0.1,1,<0.1,,,,,,,,,
,Lyme disease,163,5.5,4,4,2,2,3,25,73,26,16,4,2,2,<1,125,4,125,4.2,,,,,,,,,
,Powassan virus8,0,0.0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
,Q fever,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,<0.1,1,<0.1,,,,,,,,,
,Rabies,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
,Tularemia,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
,West Nile Virus,23,0.8,0,0,0,0,0,0,2,6,14,1,0,0,<1,14,1,14,0.5,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blastomycosis,5,0.2,0,0,0,0,1,0,0,0,1,2,1,0,<1,1,<0.1,1,<0.1,,,,,,,,,
,Carbapenamase-producing Enterobacteriaceae,168,5.7,15,11,26,27,17,22,13,26,9,2,0,0,10,176,6,176,5.9,,,,,,,,,
,Transmissible spongiform encephalopathy: Creutzfeldt-Jakob disease,3,0.1,1,0,1,0,1,0,0,0,0,0,0,0,<1,6,0,6,0.2,,,,,,,,,
,Encephalitis/Meningitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Encephalitis/Meningitis - bacterial4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
,Encephalitis/Meningitis - viral4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
,Encephalitis/Meningitis - other4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
,Encephalitis/Meningitis - unknown4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
,Outbreaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gastroenteritis9,177,6.0,26,31,38,14,8,6,4,8,2,5,15,20,8,164,6,164,5.5,,,,,,,,,
,Respiratory Infection9,"1,064",35.9,140,57,70,73,53,37,39,63,97,119,141,175,227,"1,303",44,"1,303",43.9,,,,,,,,,
,Other9,3,0.1,0,1,0,1,0,0,0,0,0,0,1,0,<1,3,0,3,0.1,,,,,,,,,
,"Source: Ontario Ministry of Health, integrated Public Health Information System (iPHIS), extracted [02/12/2024].
             Ontario Ministry of Health, Case and Contact Management System (CCM), extracted [02/13/2024].",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1 Rate per 100,000 population. Population source:Statistics Canada, Centre for Demography, customized data (2019).
 ",,,,,,, ,,,,,,,,,,,,,,,,,,,,,
,"2 3-year average based on 2020-2022 data, rounded to the nearest integer.",,,,,,,,,,,,,,,,,,,,,,,,,,, , 
,3 This category captures cases with positive HBV markers with insufficient evidence to be classified; these are most likely carriers.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,"4 Due to operational constraints related to the COVID-19 Response, Hepatitis C reports (from February 2020 onwards) and Encephalitis/Meningitis reports (from January 2021 onwards) were not entered into the provincial reporting system (iPHIS).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5 The counts beginning in July 2023 may be undercounted and not directly comparable to previous months as cases are no longer linked to outbreaks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"6 Mpox was designated a Disease of Public Health Significance (DOPHS) on June 16, 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7 TB cases included in this report are classified by diagnosis date.,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,"8 Anaplasmosis, Babesiosis, and Powassan virus were designated as Diseases of Public Health Significance (DOPHS) on July 1, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 9 Number of outbreaks and not number of cases counted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    NA: Not Applicable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
