,Brucellosis,1,<0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,<0.1,,,,,,
,Echinococcus multilocularis infection,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
,Hemorrhagic fevers,1,<0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,,
,Lyme disease,125,4.2,1,0,2,5,6,22,29,28,15,6,10,1,<1,136,4.6,,,,,,
,Q fever,1,<0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,,,,,,
,Rabies,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
,Tularemia,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
,West Nile Virus,14,0.5,0,0,0,0,0,0,0,5,7,0,2,0,<1,8,0.3,,,,,,
,Other,,,,,,,,,,,,,,,,,,,,,,,
,Blastomycosis,1,<0.1,0,0,0,0,1,0,0,0,0,0,0,0,<1,7,0.2,,,,,,
,Carbapenamase-producing Enterobacteriaceae,176,5.9,6,6,5,9,14,18,22,16,19,22,20,19,7,69,2.3,,,,,,
,Transmissible spongiform encephalopathy: Creutzfeldt-Jakob disease,6,0.2,0,1,0,0,2,0,0,0,0,1,2,0,<1,3,0.1,,,,,,
,Encephalitis/Meningitis,,,,,,,,,,,,,,,,,,,,,,,
,Encephalitis/Meningitis - bacterial6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
,Encephalitis/Meningitis - viral6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
,Encephalitis/Meningitis - other6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
,Encephalitis/Meningitis - unknown6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
,Outbreaks,,,,,,,,,,,,,,,,,,,,,,,
,Gastroenteritis7,164,5.5,1,16,43,31,15,5,9,3,9,5,8,19,5,14,0.5,,,,,,
,Respiratory Infection7,"1,303",43.9,183,34,60,128,102,58,152,97,84,132,138,135,190,"1,210",40.8,,,,,,
,Other7,3,0.1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0.0,,,,,,
,"Source: Ontario Ministry of Health, integrated Public Health Information System (iPHIS), extracted [02/12/2024].
             Ontario Ministry of Health, Case and Contact Management System (CCM), extracted [02/13/2024].",,,,,,,,,,,,,,,,,,,,,,,
,"1 Rate per 100,000 population. Population source:Statistics Canada, Centre for Demography, customized data (2019).
 ",,,,,,, ,,,,,,,,,,,,,,,,
,"2 3-year average based on 2019-2021 data, rounded to the nearest integer.",,,,,,,,,,,,,,,,,,,,,, , 
,3 This category captures cases with positive HBV markers with insufficient evidence to be classified; these are most likely carriers.,,,,,,,,,,,,,,,,,,,,,,, 
,"4 Monkeypox was designated a Disease of Public Health Significance (DOPHS) on June 16, 2022.",,,,,,,,,,,,,,,,,,,,,,,
,5 TB cases included in this report are classified by diagnosis date.,,,,,,,,,,,,,,,,,,,, ,,,
,"6 Due to operational constraints related to the COVID-19 Response, Encephalitis/Meningitis reports (from January 2021 onwards) were not entered into the provincial reporting system (iPHIS).",,,,,,,,,,,,,,,,,,,,,,,
, 7 Number of outbreaks and not number of cases counted.,,,,,,,,,,,,,,,,,,,,,,,
,    NA: Not Applicable ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, ,,,,,,,,
