,Echinoccoccus multilocularis infection4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Hemorrhagic fevers,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Lyme disease,48,1.6,0,1,0,0,4,12,8,11,6,4,2,0,<1,86,2.9,,,
,Q fever,1,<0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Rabies,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Tularemia,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,West Nile Virus,35,1.2,0,0,0,0,0,0,1,23,8,2,0,1,0,9,0.3,,,
,Other,,,,,,,,,,,,,,,,,,,,
,Blastomycosis4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,<1,2,<0.1,,,
,Carbapenamase-producing Enterobacteriaceae4,71,2.4,15,13,5,4,0,4,4,8,5,4,4,5,3,111,3.7,,,
,Transmissible spongiform encephalopathy: Creutzfeldt-Jakob disease,4,0.1,0,1,0,0,1,1,0,0,1,0,0,0,<1,2,<0.1,,,
,Encephalitis/Meningitis,,,,,,,,,,,,,,,,,,,,
,Encephalitis/Meningitis - bacterial,5,0.2,1,0,0,0,0,2,0,0,1,1,0,0,2,18,0.6,,,
,Encephalitis/Meningitis - viral,25,0.8,3,4,3,0,1,2,3,1,2,3,2,1,4,47,1.6,,,
,Encephalitis/Meningitis - other,5,0.2,2,0,0,1,0,1,0,0,1,0,0,0,<1,3,0.1,,,
,Encephalitis/Meningitis - unknown,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,<1,4,0.1,,,
,Outbreaks,,,,,,,,,,,,,,,,,,,,
,Gastroenteritis6,64,2.2,23,22,8,2,0,2,2,1,2,0,2,0,14,138,4.7,,,
,Respiratory Infection6,857,28.9,64,16,61,102,58,29,9,9,36,105,122,246,28,258,8.7,,,
,Other6,1,<0.1,0,1,0,0,0,0,0,0,0,0,0,0,<1,5,0.2,,,
,"Source: Ontario Ministry of Health, integrated Public Health Information System (iPHIS), extracted [02/12/2024].
             Ontario Ministry of Health, Case and Contact Management System (CCM), extracted [02/13/2024]",,,,,,,,,,,,,,,,,,,,
,"1 Rate per 100,000 population. Population source:Statistics Canada, Centre for Demography, customized data (2019).
 ",,,,,,, ,,,,,,,,,,,,,
,"2 3-year average based on 2017-2019 data, rounded to the nearest integer.",,,,,,,,,,,,,,,,,,,,
,3 This category captures cases with positive HBV markers with insufficient evidence to be classified; these are most likely carriers.,,,,,,,,,,,,,,,,,,, ,
,"4 As of May 1, 2018, the reportable disease list for Ontario was updated. Malaria and yellow fever were removed, and Carbapenamase-producing Enterobacteriaceae, blastomycosis and Echinoccoccus multilocularis infection were added. While previously only b serotypes of invasive Haemophilus influenzae were reportable, all serotypes are now reportable.",,,,,,,,,,,,,,,,,,, ,
,5 TB cases included in this report are classified by diagnosis date.,,,,,,,,,,,,,,,, ,,,,
,6 Number of outbreaks and not number of cases counted.,,,,,,,,,,,,,,,,,,,,
,   NA: Not Applicable ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
, ,,, ,,,,,,,,,,,,, ,,,,
,,,,,,,,,,,,,,,, ,,,,,
,,,,,,,,,, ,,,,,,,,,,,
